V1,V2,V3,V4,V5,V6
0.8924347029533237,0.5336434307973832,0.06721216067671776,0.4440979673527181,0.9185264965053648,0.8495301434304565
0.006688817171379924,0.9076177128590643,0.5580132354516536,0.3674918592441827,0.04063871828839183,0.3867680167313665
0.6645131304394454,0.8877897479105741,0.22162945941090584,0.003902987577021122,0.11567745078355074,0.5212069354020059
0.7801237246021628,0.5644685300067067,0.35334458155557513,0.11242373730055988,0.002506508957594633,0.046720800222828984
0.84244909742847085,0.9598669994156808,0.2802635782863945,0.7024011299945414,0.3703498535323888,0.0860104167368263
0.9552619073074311,0.5365660111419857,0.12037774920463562,0.5400721447076648,0.03695646743290126,0.9899538424797356
0.7252720042597502,0.3975141467526555,0.8595073809847236,0.4838886510115117,0.18755424628034234,0.9602901097387075
0.14076952612958848,0.636707596713677,0.6186907982919365,0.7108726815786213,0.0017144782468676567,0.1027261670678854
0.7228675389196724,0.5333865194115788,0.666126751806587,0.883021336980164,0.781538161681965,0.6567875570617616
0.6795200605411083,0.06713349814526737,0.06811673892661929,0.13222449901513755,0.8338411911390722,0.16036282619461417
0.40504897851496935,0.798679050989449,0.3829348108265549,0.13721071975305676,0.4220634279772639,0.29536739364266396
0.6163684802595526,0.14181431429460645,0.8915201281197369,0.8179480843245983,0.05035009537823498,0.32109542516991496
0.9171523719560355,0.34365859907120466,0.9807782620191574,0.008892172714695334,0.08504586876370013,0.49504436599090695
0.1147834004368633,0.04023258527740836,0.04475260921753943,0.6229913970455527,0.12037335778586566,0.011266497196629643
0.38009840063750744,0.6350018037483096,0.14038240397349,0.7155663212761283,0.43477268517017365,0.32451813016086817
